1, 5.90625, 680, 11, 261609, 104628.6192813767, 227149.53502391328
2, 3.25, 1224, 4, 637401, 11775.245164645194, 14572.096634042948
3, 5.28125, 233, 8, 140569, 167895.2293511027, 251532.48458686873
4, 2.9375, 640, 3, 631894, 17748.54897981491, 8526.495737160301
5, 4.1875, 39, 27, 60961, 112952.92103613495, 408821.43740762037
6, 5.90625, 205, 11, 109156, 154165.65921069376, 300634.4906474341
7, 6.375, 87, 9, 38598, 196928.99815923502, 309211.905838567
8, 3.875, 432, 23, 474245, 28147.932958118698, 147055.11282933428
9, 2.9375, 1435, 1, 658261, 0.0, 17154.102401481483
10, 3.71875, 16, 162, 34012, 49234.237448313375, 546276.8695582795
11, 6.6875, 739, 10, 196589, 135647.45231035489, 241023.8116638828
12, 6.53125, 897, 11, 245776, 109470.285285155, 235095.98729851155
13, 2.3125, 55, 149, 281866, 28841.176625367152, 336988.35410155007
14, 2.3125, 897, 4, 653827, 6632.434295754463, 8074.166937750331
15, 5.59375, 1475, 3, 552915, 51029.1018994717, 27387.16520105659
16, 4.8125, 661, 18, 445490, 34912.920286243316, 164019.5372135216
17, 5.125, 169, 12, 121505, 145183.90418905392, 300949.0082916452
18, 5.90625, 585, 12, 226711, 115753.61529088291, 241592.01972946874
19, 4.34375, 401, 20, 365132, 46116.03597383453, 224748.3856392939
20, 3.875, 127, 16, 178425, 112642.32472658133, 294122.45523433737
21, 3.09375, 170, 42, 409478, 27758.059856512533, 212492.7209389679
22, 4.1875, 576, 18, 510819, 25908.37751738486, 114582.79646819326
23, 6.21875, 458, 10, 158558, 145357.08976572144, 265240.75963359413
24, 6.0625, 309, 8, 131451, 170939.61245710246, 256381.90756746172
25, 5.90625, 585, 12, 226711, 115753.61529088291, 241592.01972946874
26, 2.3125, 583, 3, 639576, 14909.42563168235, 6224.832576635297
27, 4.8125, 736, 18, 484415, 29576.653203483584, 134421.21147163367
28, 6.6875, 664, 10, 179864, 139338.25622649366, 252779.43695382745
29, 4.34375, 500, 24, 441212, 30976.076355614976, 175209.7256186466
30, 3.875, 27, 67, 50819, 73620.50249596288, 485554.7417357912
31, 6.53125, 804, 9, 220237, 134426.8348572129, 219952.02759734372
32, 2.9375, 734, 3, 635450, 16755.370767474993, 6811.704144062358
33, 5.125, 17, 11, 7884, 189479.466854689, 348095.61948334926
34, 3.71875, 167, 25, 261118, 74510.93787170846, 275011.1352150423
35, 4.65625, 1041, 5, 566668, 38787.8278824685, 34233.62489402597
36, 5.125, 858, 14, 447879, 38238.30356828886, 156103.0117672318
37, 5.28125, 326, 9, 177266, 146687.78269340014, 245138.53909978404
38, 6.6875, 233, 8, 88079, 188495.9246551749, 273721.0507342798
39, 5.90625, 627, 11, 240923, 110318.55884776564, 238816.69603228016
40, 4.03125, 204, 22, 253081, 80868.03396853388, 272170.5174205753
